uni_lemma;lexical_class;aoa
penguin;nouns;25.0
penis;nouns;26.0
penny;nouns;24.5
photos;nouns;26.0
pickle;nouns;25.0
picture;nouns;24.0
pig;nouns;23.0
pillow;nouns;23.666666666666668
pizza;nouns;22.333333333333332
plant;nouns;25.333333333333332
plate;nouns;23.666666666666668
play dough;nouns;26.0
play pen;nouns;24.0
pony;nouns;28.333333333333332
pool;nouns;23.666666666666668
popcorn;nouns;24.0
popsicle;nouns;26.0
porch;nouns;28.0
potato;nouns;25.5
potty;nouns;23.0
present;nouns;24.5
pretzel;nouns;24.0
pudding;nouns;24.5
pumpkin;nouns;26.0
puppy;nouns;22.0
purse;nouns;24.0
puzzle;nouns;23.0
radio;nouns;25.666666666666668
rain;nouns;23.333333333333332
raisin;nouns;24.0
refrigerator;nouns;25.0
rock;nouns;23.5
rocking chair;nouns;27.0
roof;nouns;27.5
room;nouns;25.0
rooster;nouns;26.0
salt;nouns;28.0
sandals;nouns;24.0
sandbox;nouns;26.0
sandwich;nouns;24.0
sauce;nouns;24.5
school;nouns;28.0
scissors;nouns;25.333333333333332
sheep;nouns;24.333333333333332
shirt;nouns;24.0
shoe;nouns;21.0
shorts;nouns;24.333333333333332
shoulder;nouns;26.0
shovel;nouns;27.0
shower;nouns;24.5
sidewalk;nouns;27.0
sink;nouns;24.333333333333332
sky;nouns;21.333333333333332
sled;nouns;30.0
slide;nouns;25.0
slipper;nouns;26.5
snake;nouns;23.0
sneaker;nouns;28.0
snow;nouns;26.0
snowman;nouns;27.0
soap;nouns;24.333333333333332
sock;nouns;24.0
soda;nouns;25.0
sofa;nouns;30.0
soup;nouns;24.0
spade;nouns;26.0
spaghetti;nouns;25.0
spider;nouns;24.5
spoon;nouns;22.666666666666668
sprinkler;nouns;29.0
squirrel;nouns;23.0
stairs;nouns;24.333333333333332
star;nouns;24.333333333333332
stick;nouns;25.5
stoller;nouns;21.0
stone;nouns;27.0
story;nouns;24.0
stove;nouns;27.0
strawberry;nouns;25.0
street;nouns;24.0
stroller;nouns;26.666666666666668
sun;nouns;23.0
sweater;nouns;22.333333333333332
swing;nouns;22.0
table;nouns;25.0
tape;nouns;25.0
tea;nouns;24.0
teddybear;nouns;24.0
telephone;nouns;25.0
tiger;nouns;25.0
tights;nouns;30.0
tissue;nouns;24.0
toast;nouns;24.333333333333332
toe;nouns;22.666666666666668
tongue;nouns;23.0
tooth;nouns;23.0
toothbrush;nouns;23.333333333333332
towel;nouns;24.0
toy;nouns;22.333333333333332
tractor;nouns;24.5
train;nouns;22.666666666666668
trash;nouns;24.666666666666668
tree;nouns;21.666666666666668
tricycle;nouns;27.0
truck;nouns;23.666666666666668
tummy;nouns;24.0
tuna;nouns;29.0
turkey;nouns;24.666666666666668
turtle;nouns;25.0
tv;nouns;25.0
underpants;nouns;25.0
vacuum;nouns;25.0
vanilla;nouns;30.0
vitamins;nouns;27.0
wall;nouns;29.0
wardrobe;nouns;25.0
washing machine;nouns;27.0
watch;nouns;24.0
water;nouns;23.333333333333332
wind;nouns;26.5
window;nouns;25.666666666666668
wolf;nouns;28.0
work;nouns;24.0
yard;nouns;27.0
yogurt;nouns;24.0
zebra;nouns;24.0
zipper;nouns;23.0
zoo;nouns;28.0
